Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>=30 kg/m² (obesity),Prevalence of BMI>=35 kg/m² (severe obesity),Prevalence of BMI<18.5 kg/m² (underweight),Prevalence of BMI >=40 kg/m²(morbid obesity)
Afghanistan,AFG,Men,2015,22.59727899,20.11548127,25.11608775,0.031615078,0.002967074,0.170199141,0.000914226
Albania,ALB,Men,2015,27.06083759,25.96814689,28.12196517,0.216460013,0.042450231,0.003792221,0.006699603
Algeria,DZA,Men,2015,24.77725397,23.52035207,25.99609976,0.199292626,0.039691829,0.034355082,0.00997153
American Samoa,ASM,Men,2015,33.09525727,31.50549258,34.569207,0.583195453,0.318114853,0.00047274,0.135817411
Andorra,AND,Men,2015,27.47462216,25.02511644,29.94801268,0.263911739,0.066238578,0.00331411,0.014884297
Angola,AGO,Men,2015,22.36461265,19.74017591,25.04311567,0.039686145,0.006444739,0.161581167,0.001109385
Antigua and Barbuda,ATG,Men,2015,25.73584965,23.33045931,28.21241078,0.116661491,0.027502457,0.047526358,0.008616265
Argentina,ARG,Men,2015,27.91578809,26.78452897,29.07320177,0.27657994,0.072670601,0.003633418,0.013355296
Armenia,ARM,Men,2015,25.66860041,24.96386842,26.35489663,0.172527388,0.036923316,0.017219932,0.010260018
Australia,AUS,Men,2015,27.68325796,27.09868699,28.27861987,0.299079264,0.094640031,0.003508859,0.024777047
Austria,AUT,Men,2015,26.64113411,25.04507444,28.26097431,0.220927204,0.057334804,0.006011319,0.013335346
Azerbaijan,AZE,Men,2015,26.15012541,24.8640947,27.42729355,0.158851929,0.030821781,0.013679791,0.006187895
Bahamas,BHS,Men,2015,27.20071868,24.83913222,29.67897305,0.246710519,0.077852503,0.021327768,0.024918797
Bahrain,BHR,Men,2015,24.90852026,23.54516115,26.17637309,0.258524932,0.066294904,0.024649931,0.01451172
Bangladesh,BGD,Men,2015,21.33982943,20.79177342,21.89323258,0.02208185,0.001533885,0.20075589,0.000416936
Barbados,BRB,Men,2015,26.42875441,25.47018109,27.40758311,0.14724383,0.039708345,0.034133243,0.012018234
Belarus,BLR,Men,2015,26.56296535,25.84559863,27.28997168,0.223757054,0.052419092,0.007356893,0.009276878
Belgium,BEL,Men,2015,26.77505168,26.12920397,27.41365132,0.234972627,0.04868604,0.002589833,0.009225216
Belize,BLZ,Men,2015,27.53950567,26.1186107,29.00030399,0.165724006,0.04675124,0.033684237,0.015244524
Benin,BEN,Men,2015,22.63234042,21.51261673,23.77272056,0.0465907,0.009181289,0.10455468,0.003159038
Bermuda,BMU,Men,2015,27.656563,25.22190372,30.18516726,0.293037342,0.100620344,0.016198585,0.032409982
Bhutan,BTN,Men,2015,23.5086725,22.76003497,24.23697231,0.046351287,0.003849113,0.11039623,0.000937353
Bolivia,BOL,Men,2015,25.31401264,23.71505995,26.88550291,0.145848609,0.021366447,0.013391035,0.004887888
Bosnia and Herzegovina,BIH,Men,2015,26.43731882,25.38795103,27.49791724,0.173266171,0.028078669,0.004373682,0.00549479
Botswana,BWA,Men,2015,22.59010931,21.87879122,23.33590496,0.081581164,0.018039829,0.118140536,0.006715566
Brazil,BRA,Men,2015,26.33917967,25.80212226,26.86705895,0.186928751,0.040562291,0.01840034,0.008059605
Brunei Darussalam,BRN,Men,2015,27.167919,26.54777813,27.7728922,0.123846763,0.028943123,0.058723753,0.007340695
Bulgaria,BGR,Men,2015,27.21528481,25.85954063,28.59403414,0.257864964,0.057004706,0.003246648,0.010961003
Burkina Faso,BFA,Men,2015,22.19577356,21.42750739,22.96730031,0.025207581,0.003631972,0.10575949,0.001508325
Burundi,BDI,Men,2015,21.80526402,19.41687657,24.22589154,0.020713411,0.002276218,0.141755251,0.000610005
Cabo Verde,CPV,Men,2015,23.75957849,22.49445689,24.98063138,0.068416116,0.013336202,0.084171759,0.004389559
Cambodia,KHM,Men,2015,22.05113884,21.08650514,23.02068054,0.026495641,0.002425481,0.129044549,0.000507815
Cameroon,CMR,Men,2015,23.61837342,22.17287506,25.05916914,0.060749791,0.011998822,0.071899892,0.004824534
Canada,CAN,Men,2015,27.44537476,26.93986256,27.95274451,0.298293898,0.097578066,0.003835207,0.028447026
Central African Rep.,CAF,Men,2015,22.02261212,20.32074366,23.67739929,0.036649688,0.005825559,0.173727927,0.000889076
Chad,TCD,Men,2015,22.0155931,20.3403919,23.71784599,0.030594188,0.006562779,0.130789381,0.003407012
Chile,CHL,Men,2015,27.8873564,26.99328227,28.79667989,0.251978447,0.058505145,0.003209501,0.0117327
